City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,formosa,-26.1775,-58.1781,98.58,26,75,2.3,AR,1675711052
302,batagay-alyta,67.8006,130.4114,-41.58,96,26,4.54,RU,1675711053
303,goundam,16.4145,-3.6708,83.93,10,100,8.1,ML,1675711053
304,heihe,50.2441,127.4902,-10.61,97,100,1.74,CN,1675711054
305,kimberley,-28.7323,24.7623,80.46,41,100,17.45,ZA,1675711054
306,xichang,27.8964,102.2634,43.93,56,12,2.77,CN,1675711055
307,bulgan,48.8125,103.5347,-4.22,97,37,3.83,MN,1675711056
308,bindi,9.9167,-11.45,87.82,22,99,1.72,SL,1675711057
309,pevek,69.7008,170.3133,-35.41,100,100,4.16,RU,1675711057
310,tyumentsevo,53.3224,81.498,13.6,95,100,9.93,RU,1675711058
311,novobirilyussy,56.9514,90.6661,-9.45,100,100,3.53,RU,1675711059
312,kipushi,-11.7667,27.2333,61.86,95,100,4.94,CD,1675711059
313,kysyl-syr,63.8986,122.7617,-40.27,100,96,0.96,RU,1675711060
314,westport,41.1415,-73.3579,51.84,53,0,20.71,US,1675710897
315,itarema,-2.9248,-39.9167,81.12,74,100,10.94,BR,1675710881
316,tripoli,32.8752,13.1875,53.8,56,96,7.83,LY,1675711061
317,aklavik,68.2191,-135.0107,-32.8,75,100,2.3,CA,1675711061
318,najran,17.4924,44.1277,72.25,46,53,7.38,SA,1675710990
319,namatanai,-3.6667,152.4333,78.48,84,95,5.41,PG,1675711062
320,palasbari,26.1361,91.5486,64.45,100,40,3.44,IN,1675711063
321,augusta,48.3667,10.8833,30.54,90,100,2.3,DE,1675710896
322,komsomolskiy,40.4272,71.7189,38.12,87,100,6.91,UZ,1675711064
323,tautira,-17.7333,-149.15,80.24,76,45,15.1,PF,1675711065
324,boguchany,58.3814,97.4531,-10.79,100,97,1.97,RU,1675711065
325,caxito,-8.5785,13.6643,78.13,84,70,2.95,AO,1675711066
326,novoagansk,61.9449,76.6625,5.2,97,100,1.92,RU,1675711066
327,farafangana,-22.8167,47.8333,74.59,90,100,5.19,MG,1675711068
328,rojhan,28.6868,69.9534,63.12,31,0,9.04,PK,1675711068
329,teahupoo,-17.8333,-149.2667,76.96,76,45,15.52,PF,1675711069
330,seoul,37.5683,126.9778,27.84,69,100,3.33,KR,1675710874
331,atambua,-9.1061,124.8925,72.79,87,98,0.92,ID,1675711070
332,san patricio,28.017,-97.5169,79.16,56,28,19.35,US,1675711071
333,sol-iletsk,51.1631,54.9918,-2.36,100,69,3.36,RU,1675711071
334,vardo,70.3705,31.1107,30.18,93,100,39.12,NO,1675711072
